puuid,assists,deaths,kills,bountyLevel,champExperience,champLevel,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,inhibitorTakedowns,inhibitorsLost,killingSprees,pentaKills,quadraKills,timePlayed,totalTimeSpentDead,wardsKilled,wardsPlaced,baronKills,acesBefore15Minutes,controlWardsPlaced,damagePerMinute,goldPerMinute,killParticipation,laneMinionsFirst10Minutes,maxCsAdvantageOnLaneOpponent,skillshotsHit,damageTakenOnTeamPercentage,gameLength,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,teamEarlySurrendered,win,freshBlood,hotStreak,Churner
--84ko_OMxBHxuXeD3I2ARAiQY3WfyLasKoDy6vG7Ay3DYRTHQaREcC0ps5C1KDZOqD4NlVlzOR-zg,9.987012987012987,9.38961038961039,7.025974025974026,0.7922077922077922,15053.376623376624,15.012987012987013,2994.051948051948,7683.467532467533,2994.051948051948,28249.987012987014,0.4935064935064935,1.1818181818181819,1.7402597402597402,0.0,0.0,1595.922077922078,277.94805194805195,0.948051948051948,9.025974025974026,0.0,0.2727272727272727,2.116883116883117,2772.4430953440574,484.86029269376286,0.4701402361208456,41.688311688311686,37.60649350788686,31.90909090909091,0.2579840454175364,1596.6523768043485,9.09,14.29,3.9,10.39,1.3,20.78,0.0,42.86,0.0,0.0,False
-HrFTf4VehKN15CLaJmXlzxyYWScD_eWt0dklsbmOYWmKWPEH3ybDLlKEHCgdpsp92IMPIi2PPTPhA,13.615384615384615,7.576923076923077,9.807692307692308,1.0384615384615385,16718.641025641027,15.782051282051283,2424.7179487179487,4511.423076923077,2424.7179487179487,23060.19230769231,0.47435897435897434,0.9230769230769231,2.41025641025641,0.0,0.05128205128205128,1434.8333333333333,202.89743589743588,0.3717948717948718,3.858974358974359,0.02564102564102564,0.5128205128205128,0.5,1743.174185457807,575.5460453306606,0.6256167402883509,36.02564102564103,23.626923078145737,34.256410256410255,0.21424345363572397,1435.7449587671367,12.82,11.54,11.54,5.13,0.0,26.92,0.0,50.0,0.0,0.0,False
0eI3Eb9O0NHGmz3FzvJ0XQFp5crZopMdVGbbXViA4a7SEUK5U4_6uQAazdhSciFcB6Tjw_4stywCSQ,12.814432989690722,5.608247422680412,5.092783505154639,0.9072164948453608,13518.886597938144,14.309278350515465,1481.4536082474226,3973.896907216495,1481.4536082474226,14420.886597938144,0.4948453608247423,1.041237113402062,1.2268041237113403,0.0,0.020618556701030927,1858.1237113402062,168.76288659793815,4.0,16.164948453608247,0.041237113402061855,0.12371134020618557,0.7319587628865979,560.1974372222336,351.42800872062566,0.6017858254927236,15.628865979381443,15.106185572356292,45.90721649484536,0.15379262704752933,1858.745414103964,27.84,6.19,7.22,2.06,0.0,25.77,0.0,52.58,0.0,0.0,False
0fkuViOsH7aAapXYZqzJgU6Kk0L-cbqYTiMjI0RqmK6SKypncaGpYIoDLVjQwI1WFxbLk1UxAUiqZQ,9.95,6.47,8.09,1.17,14511.75,14.88,3319.25,9072.36,3319.25,22467.71,0.51,1.06,2.0,0.0,0.03,1600.7,191.93,0.9,5.57,0.09,0.23,0.15,801.829875131044,477.68075046734964,0.5156411352489925,31.57,26.651500007510187,33.8,0.20032575160173074,1601.3724803303644,13.0,6.0,12.0,13.0,0.0,28.0,0.0,49.0,100.0,0.0,False
19f7IcTGUBDPt5cvvis1Vum_NpdPJxIwHca-PPbMjTyL3h9Oesg32V_AgaqetJ2gciCtYhp60013Zg,5.4222222222222225,5.511111111111111,5.866666666666666,1.3333333333333333,13337.888888888889,14.333333333333334,3113.911111111111,8463.6,3113.911111111111,18754.466666666667,0.35555555555555557,0.9555555555555556,1.1555555555555554,0.0,0.0,1720.6666666666667,167.2,1.5777777777777777,9.644444444444444,0.0,0.0,2.1555555555555554,1230.9268291339395,391.21233366321206,0.5039782269668034,48.37777777777778,31.63555556734403,37.08888888888889,0.19615488118718064,1721.5067803313134,6.67,15.56,4.44,4.44,0.0,22.22,0.0,44.44,0.0,0.0,False
1DrSLWmHtX4aNp2wJLGCKc6UKUOZY7SlY1xI7QREn2k7_zE6dE6HbSOPDZStA3iOBsfv01NWBXDFxQ,9.033333333333333,6.044444444444444,5.5777777777777775,0.7222222222222222,13721.033333333333,14.511111111111111,1618.088888888889,5081.444444444444,1618.088888888889,23877.61111111111,0.37777777777777777,0.7444444444444445,1.211111111111111,0.0,0.011111111111111112,1529.0333333333333,178.95555555555555,0.6,5.844444444444444,0.03333333333333333,0.17777777777777778,0.0,689.8337388258597,432.24442335235943,0.44960650962595594,41.7,19.005000005165737,25.044444444444444,0.21933490173214354,1529.698823354962,13.33,5.56,7.78,5.56,0.0,41.11,0.0,43.33,0.0,0.0,False
2hz5mLYNPcCbbQEn2AltA3B_m-fPg6Iuhv-ei5CVqeaAtCCE_WidBFuMrEBLL3v2eHP0kQHPqtoFUQ,7.702127659574468,5.819148936170213,7.414893617021277,1.2340425531914894,14658.521276595744,14.97872340425532,3825.595744680851,12803.606382978724,3825.595744680851,16318.670212765957,0.5,1.148936170212766,1.6914893617021276,0.0,0.02127659574468085,1838.2021276595744,184.27659574468086,1.425531914893617,6.5,0.1276595744680851,0.0,0.5212765957446809,657.5319685788845,403.209963255316,0.588633498265571,44.244680851063826,40.62606384684431,27.53191489361702,0.18762365232690378,1838.8751337528115,2.13,7.45,3.19,9.57,1.06,14.89,0.0,53.19,0.0,0.0,True
2wKTX9hARXD7w_ZJqvuEOAoqKSN46v4_A7JEWfYEgcEHKmGfvi7oo-n-1k0MqGJbfKlOXGrff6pAag,8.511904761904763,6.785714285714286,6.285714285714286,0.6428571428571429,13332.17857142857,13.976190476190476,1688.5238095238096,4709.690476190476,1688.5238095238096,11453.02380952381,0.39285714285714285,1.0476190476190477,1.3928571428571428,0.0,0.08333333333333333,1481.7738095238096,191.39285714285714,0.5119047619047619,3.0238095238095237,0.047619047619047616,0.38095238095238093,0.023809523809523808,876.0523767942187,463.17384285585183,0.5376419693441579,31.107142857142858,10.12083333482345,26.154761904761905,0.19935172951185762,1482.475108761903,14.29,9.52,4.76,7.14,1.19,23.81,0.0,50.0,0.0,0.0,True
339eZZHmd2oMxO2E_gPQ5eAAYQbskeKhM48esMkkW_mE_NJroRpJm6jJ_0hKBcA5CZdFRes1aBOu4w,12.68,7.7,11.39,1.14,17573.76,16.03,1972.63,4531.11,1972.63,22552.92,0.51,0.9,2.87,0.03,0.15,1319.81,205.1,0.23,2.43,0.01,0.74,0.06,1239.0750534482443,668.0169449985914,0.5756701960492664,26.41,28.697000015974044,41.25,0.19921868452921976,1320.5957704318987,17.0,7.0,13.0,8.0,0.0,26.0,0.0,48.0,0.0,0.0,False
33v2GD9WFTiawVVbZhUIiyorkTO8PtiKbikz54WXBJD15uu08kZZUyf8qBNx_hcXRi-0fCEnImLWgw,7.746835443037975,6.367088607594937,6.620253164556962,0.8860759493670886,12451.962025316456,13.79746835443038,3303.974683544304,8794.683544303798,3303.974683544304,11625.620253164558,0.6075949367088608,0.9873417721518988,1.4303797468354431,0.0,0.02531645569620253,1766.2151898734178,199.9493670886076,1.3544303797468353,3.7974683544303796,0.06329113924050633,0.0,0.06329113924050633,2675.9085646629887,385.72708483015896,0.5310416482287406,50.139240506329116,29.08670887200138,30.78481012658228,0.18113707805835105,1767.004504775007,10.13,13.92,5.06,6.33,2.53,13.92,0.0,49.37,0.0,0.0,True
