puuid,assists,deaths,kills,bountyLevel,champExperience,champLevel,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,inhibitorTakedowns,inhibitorsLost,killingSprees,pentaKills,quadraKills,timePlayed,totalTimeSpentDead,wardsKilled,wardsPlaced,baronKills,acesBefore15Minutes,controlWardsPlaced,damagePerMinute,goldPerMinute,killParticipation,laneMinionsFirst10Minutes,maxCsAdvantageOnLaneOpponent,skillshotsHit,damageTakenOnTeamPercentage,gameLength,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,teamEarlySurrendered,win,freshBlood,hotStreak,Churner
-186E5wdwUgbu4-5d9xFF1wD0PhWALZUTP10UaJpcSZyCuClG1TB-leCtpfirkGKE1YnQG61j-x9JQ,15.166666666666666,6.5,3.5,0.4166666666666667,12676.916666666666,14.166666666666666,485.4166666666667,1672.25,485.4166666666667,37738.416666666664,0.75,1.0833333333333333,0.6666666666666666,0.0,0.0,1930.25,185.41666666666666,2.8333333333333335,14.083333333333334,0.0,0.0,0.0,370.5062395418652,288.23693804973556,0.5594363372060123,13.583333333333334,16.583333333333332,24.166666666666668,0.16280921231977943,1930.919282505212,16.67,16.67,0.0,0.0,0.0,33.33,0.0,50.0,0.0,0.0,False
-PRgON_1DeUOGNocGf3GcWLWHQfjaoBAIU56pQejKbVWHump_ms-4wAC6Ir53BoXMlvPzCVbU9GFIQ,5.166666666666667,5.166666666666667,7.166666666666667,1.8333333333333333,13754.75,14.666666666666666,2104.6666666666665,4735.416666666667,2104.6666666666665,14494.0,0.16666666666666666,1.4166666666666667,1.5,0.0,0.08333333333333333,1735.8333333333333,159.25,2.5833333333333335,9.166666666666666,0.0,0.0,3.5833333333333335,651.0045085084018,393.7873428901589,0.4765436317066753,42.083333333333336,12.820833340287209,15.416666666666666,0.21411113219505465,1736.4069160983072,25.0,16.67,16.67,0.0,0.0,25.0,0.0,25.0,0.0,0.0,False
00V3q2Aj08pP3KZpv6fmqb17F2nzgq0d-faxL7H4AzlyueouIWIxzViNPi17_iQKM6uVV6qeBesPHQ,9.416666666666666,9.333333333333334,2.6666666666666665,0.08333333333333333,10775.166666666666,12.916666666666666,816.5,1903.1666666666667,816.5,9405.0,0.3333333333333333,1.9166666666666667,0.4166666666666667,0.0,0.0,1889.3333333333333,267.0,5.083333333333333,23.833333333333332,0.0,0.0,1.3333333333333333,607.1668102338127,265.074049959507,0.42095371108365526,5.166666666666667,11.108333334326744,56.916666666666664,0.15524170222089312,1890.3853187938028,8.33,8.33,0.0,0.0,0.0,33.33,0.0,25.0,0.0,0.0,False
03M-Cu8nEWAdwgPCPyAlBAA58KSeyw1J2ccN0K4durpKr7eokCrmwfB2n0QwPAeSFzj0J27KtviH_A,9.416666666666666,5.75,5.166666666666667,0.5833333333333334,15147.583333333334,15.25,2805.25,9550.5,2805.25,11691.75,0.5833333333333334,1.5,1.3333333333333333,0.0,0.0,1996.0,168.58333333333334,1.3333333333333333,9.0,0.0,0.08333333333333333,0.0,559.3970473949867,385.30425662348085,0.4134585776001645,47.25,15.329166668156782,77.08333333333333,0.15329995313834807,1996.8103023577341,25.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,False
05KNFXQiDt-rgE5KxDwaaS8l4ViGqavNd3yR7PNKSI3MJd_G4HVdQK7ccSj4ME6irvZ7ybF2nzkvBw,6.083333333333333,5.083333333333333,8.333333333333334,2.0833333333333335,14423.25,15.166666666666666,2014.1666666666667,7334.0,2014.1666666666667,23142.5,0.4166666666666667,1.0833333333333333,2.0833333333333335,0.0,0.08333333333333333,1847.0833333333333,170.91666666666666,1.8333333333333333,7.25,0.08333333333333333,0.0,0.0,673.0856927906967,421.3916380152638,0.42036129279450724,49.25,38.07500001043081,24.583333333333332,0.18319294334459638,1847.8175500164805,33.33,25.0,0.0,8.33,0.0,16.67,0.0,58.33,0.0,0.0,False
0L2z9jOqen4G_p7cOLE609m9IeVQvO6wPJgko_es5Nje8QIKtHbbUi56nDngTsXLl60Q26-Ua7BCXw,6.0,7.583333333333333,5.083333333333333,0.5,12969.833333333334,14.25,3231.3333333333335,9985.583333333334,3231.3333333333335,21165.25,0.16666666666666666,1.0,1.25,0.0,0.0,1759.75,211.16666666666666,0.9166666666666666,10.666666666666666,0.08333333333333333,0.0,0.4166666666666667,641.3561287713093,346.6805940449652,0.39025301803430795,44.166666666666664,13.0,21.25,0.21943622873651658,1760.3986098620644,0.0,8.33,0.0,16.67,0.0,25.0,0.0,33.33,0.0,0.0,False
0_OI2MNaQCLU3NkGay8zIpq5otOuDUehc-pc2joqXEe6zbrStsj8Jj632MmZ0PBKLauEW-sMza-Dew,6.083333333333333,7.583333333333333,7.583333333333333,0.25,14351.0,14.5,7640.583333333333,12108.833333333334,7640.583333333333,38683.916666666664,0.5833333333333334,1.1666666666666667,2.0,0.0,0.0,1812.5833333333333,256.0833333333333,1.3333333333333333,10.333333333333334,0.0,0.0,1.8333333333333333,873.8321890378693,419.0243387454597,0.39281164385653033,51.583333333333336,51.8500000461936,16.75,0.2564134070440479,1814.6711315580048,8.33,25.0,8.33,25.0,0.0,16.67,0.0,50.0,0.0,0.0,False
0c14DyyK2suGmBNy8oLT_QGM1588rLTXQFqGplRmRdCsYR00b3HIHqugmRlkbvpPFv3gzBMebnH8IQ,8.75,6.166666666666667,8.75,1.5833333333333333,16108.75,15.916666666666666,4369.0,12199.083333333334,4369.0,68177.83333333333,0.5833333333333334,1.0,2.0833333333333335,0.0,0.16666666666666666,1978.6666666666667,209.5,2.0,11.5,0.25,0.0,1.3333333333333333,766.0328023428216,403.802296487323,0.4333044282006102,52.333333333333336,34.71666667113701,7.583333333333333,0.26311501669846965,1979.2380964046342,8.33,25.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,False
0mPfkUE9RmnTkRMESXtJudr-tEFZAllPN37hIKz0rOA7R2xy_6sMePG6_6Y-a9NbgIMddxwSbfY3pA,3.25,5.75,4.083333333333333,0.5,13642.333333333334,14.5,3304.3333333333335,7959.083333333333,3304.3333333333335,18498.083333333332,0.5,0.75,1.3333333333333333,0.0,0.0,1615.3333333333333,188.91666666666666,0.9166666666666666,6.666666666666667,0.0,0.0,0.75,508.1542221724197,396.523531668958,0.28291001834302054,57.083333333333336,40.40000000347694,16.416666666666668,0.23072340351286982,1615.7964532169337,0.0,16.67,0.0,8.33,0.0,33.33,0.0,33.33,0.0,0.0,False
0qdGagAxdTMX_NVFo3VyPdPDYrA0ENAllMnFDvx9zYqEFir8t6WiWTshtFkWAUacaXGFYfcrdQEoBQ,10.166666666666666,6.75,3.6666666666666665,0.16666666666666666,13339.25,14.5,1441.5833333333333,2800.0833333333335,1441.5833333333333,19441.25,0.5,1.75,0.8333333333333334,0.0,0.0,1652.9166666666667,177.0,3.8333333333333335,16.5,0.0,0.16666666666666666,3.0,549.921712436077,385.6372161046263,0.41744147179262514,20.583333333333332,22.758333335320156,35.583333333333336,0.16870117665587203,1653.5705680915198,8.33,8.33,8.33,0.0,0.0,0.0,0.0,41.67,0.0,0.0,False
1FZRZ454KXesghvG8SuEOHaAb3r9SEy4F9NiKpz2ejBOvjleNquIQmfuYmlJPwM_OMMJs4CljcrUhQ,4.0,7.25,6.25,1.0,12854.666666666666,14.25,3458.5,5071.0,3458.5,21088.916666666668,0.75,1.0,1.5833333333333333,0.0,0.0,1671.4166666666667,210.75,1.25,8.5,0.0,0.0,1.5833333333333333,628.2930005700024,369.67625619905766,0.390678040846014,44.0,22.83333331346512,15.25,0.21835008146016668,1672.0042179456398,0.0,0.0,8.33,0.0,0.0,8.33,0.0,50.0,0.0,0.0,True
1Z3nCdcYkfYEKnqK4v8OG5YJ_vr-KUS3yGeZyr9cbx9UrbJuyJK0wuaDtNU8TVzsWLbU3ssjjoIENg,6.0,5.636363636363637,10.727272727272727,2.090909090909091,16391.545454545456,16.0,6381.636363636364,19231.363636363636,6381.636363636364,16820.727272727272,0.9090909090909091,1.0909090909090908,3.0,0.0,0.0,1955.0,204.54545454545453,1.2727272727272727,10.727272727272727,0.5454545454545454,0.0,0.45454545454545453,999.2852730354624,463.4163299671578,0.544116260682601,65.54545454545455,56.90454547242685,54.54545454545455,0.1827565266154615,1956.1409239981042,0.0,18.18,0.0,18.18,0.0,9.09,0.0,54.55,0.0,0.0,True
25x_h_4KYAL2gQkCcy3XNvCn8crpEX7vbyJGp5qvmxhrifE52jKIqyD30OmEwn6oyiEZildnorqx9w,16.333333333333332,6.75,6.333333333333333,0.6666666666666666,17978.833333333332,16.083333333333332,1344.1666666666667,4681.25,1344.1666666666667,29895.916666666668,0.5833333333333334,1.1666666666666667,1.5833333333333333,0.08333333333333333,0.08333333333333333,1409.0833333333333,187.0,0.6666666666666666,3.3333333333333335,0.0,0.5,0.16666666666666666,982.028040288323,579.9431041956695,0.507419370752704,35.666666666666664,25.00833333780368,42.5,0.21574790318050274,1409.748873235597,8.33,8.33,16.67,0.0,0.0,16.67,0.0,58.33,0.0,0.0,False
2KkS1X8pW_DlMBHQ-EMorFwnDTPKejoQhaj43dijgOXW1GyJiB_Ae-i2ZPkDTfwffnK_e5qyJv0ZXw,9.75,4.083333333333333,10.25,2.25,13703.666666666666,14.166666666666666,4495.416666666667,8992.083333333334,4495.416666666667,8509.666666666666,0.5,0.5833333333333334,2.0833333333333335,0.0,0.08333333333333333,1516.6666666666667,128.5,1.75,8.166666666666666,0.0,0.25,0.9166666666666666,5727.240918647625,526.2123631294845,0.7925584934396189,45.5,81.95000006506841,32.166666666666664,0.18156746992222825,1517.390400751352,0.0,25.0,16.67,16.67,0.0,41.67,0.0,66.67,0.0,0.0,True
2g_IFQWxC0tMtLvRrggiMfMpexorYdfWY5R2f1Q3zwLMCZmvAoYXIusOtb3KEhSlWo60ywmwnTQ0hQ,12.833333333333334,6.416666666666667,4.083333333333333,0.3333333333333333,14197.0,14.166666666666666,2410.0833333333335,3580.75,2410.0833333333335,16901.916666666668,0.3333333333333333,1.5,1.0,0.0,0.0,1330.5,160.83333333333334,0.3333333333333333,2.4166666666666665,0.0,0.16666666666666666,0.08333333333333333,1124.2570696188914,489.8062415063205,0.4415292334904786,26.0,5.083333333333333,35.25,0.1907380761209118,1331.2706873415652,0.0,0.0,8.33,0.0,8.33,0.0,8.33,25.0,0.0,100.0,True
2tUd9BzdPSSZp9fwKXL-RhzFQhVSbBOP_PU2yMqkqVcY6241sxqRvpDc8L8V_qlterfE-2ZjgzBXvQ,10.083333333333334,5.833333333333333,9.833333333333334,1.5833333333333333,14638.416666666666,14.75,2659.4166666666665,7039.833333333333,2659.4166666666665,18026.75,0.5,0.8333333333333334,2.25,0.0,0.08333333333333333,1524.0833333333333,169.75,1.6666666666666667,5.916666666666667,0.0,0.4166666666666667,0.0,1083.5048419894126,524.316873888753,0.6505524915884633,36.083333333333336,23.85416668156783,32.083333333333336,0.22142937125479792,1524.6914597964915,16.67,0.0,8.33,8.33,0.0,16.67,0.0,41.67,0.0,0.0,False
3OfxYlpMQ-lMeVHtKOTHDvCn2H5p49vhR3gYEAamngo3Ncyxra8iu8HDHOY_LTmtn3n0tBKzxHYjUQ,9.5,6.0,6.916666666666667,1.1666666666666667,13596.916666666666,14.416666666666666,2379.75,7003.0,2379.75,10931.25,0.4166666666666667,1.1666666666666667,1.4166666666666667,0.0,0.0,1709.1666666666667,179.83333333333334,1.3333333333333333,6.166666666666667,0.0,0.25,0.0,751.1458851691112,419.22768334683843,0.4426167418648215,46.666666666666664,18.683333332339924,40.333333333333336,0.1715155083706815,1709.788341179699,16.67,8.33,0.0,0.0,0.0,25.0,0.0,41.67,100.0,0.0,False
3iLlG7ecUxSVgZdaUZqkN0JAu_0UJpzfUWoC4nilHD4qQmuh2ftVRie-EuMyirnHwm0157EwfkQfSw,9.166666666666666,7.583333333333333,6.083333333333333,0.6666666666666666,14563.833333333334,14.833333333333334,4113.416666666667,7452.0,4113.416666666667,18307.75,0.75,0.8333333333333334,1.25,0.0,0.0,1689.25,216.5,1.3333333333333333,6.833333333333333,0.0,0.3333333333333333,0.0,2616.3556902088835,428.29527590711837,0.5879844283703288,49.166666666666664,19.79166666418314,23.583333333333332,0.21147112041643437,1689.8760132778937,8.33,0.0,16.67,0.0,0.0,50.0,0.0,58.33,0.0,0.0,True
4Sw-7pvxE7L2Ad2lhrL-M0IWbW2yqwUkGzS7TmARu1YCL6a6e3717A5AmpVVbUP0hlhVQlk5qjRrLg,16.0,6.5,7.0,1.4166666666666667,18335.416666666668,16.416666666666668,2870.75,9269.833333333334,2870.75,35316.75,0.8333333333333334,1.0,1.9166666666666667,0.0,0.0,1755.6666666666667,187.58333333333334,1.1666666666666667,7.916666666666667,0.0,0.3333333333333333,0.8333333333333334,778.6488533273274,475.4914769330253,0.5500234152269169,45.333333333333336,19.60000000645717,32.333333333333336,0.2107674885134995,1756.472582100542,0.0,8.33,8.33,0.0,0.0,0.0,0.0,50.0,0.0,0.0,False
